favorite_count,retweet_count,tweet_id
13887,4746,832032802820481025
369,39,831926988323639298
11469,2059,831670449226514432
9872,2632,831552930092285952
7117,1264,831315979191906304
13066,2350,831262627380748289
73397,19297,830583320585068544
10804,3455,830097400375152640
13441,2243,829861396166877184
11519,2329,829449946868879360
26952,8530,829141528400556032
0,3901,828801551087042563
40241,12882,828708714936930305
6898,1305,828409743546925057
13864,2554,828381636999917570
13756,3344,828372645993398273
12923,3260,828046555563323392
22180,5987,827933404142436356
8143,1082,827600520311402496
0,13517,827228250799742977
23767,5757,826958653328592898
0,4521,826615380357632002
11117,2709,826598365270007810
14614,2965,826240494070030336
17299,3599,826115272272650244
14025,2848,825829644528148480
20181,5244,825147591692263424
7020,1483,825026590719483904
16508,4069,824775126675836928
12999,11848,824325613288833024
5255,679,824025158776213504
0,12953,823719002937630720
14376,3031,823581115634085888
17437,4637,823322678127919110
19139,3958,822975315408461824
14576,2622,822859134160621569
16327,3423,822610361945911296
31800,17209,822462944365645825
0,5571,822163064745328640
0,3839,821813639212650496
8871,2030,821522889702862852
13075,5053,821407182352777218
9718,2320,821149554670182400
14021,2636,821044531881721856
34984,11525,820749716845686786
0,648,820494788566847489
3706,648,820314633777061888
0,1369,820013781606658049
14305,5607,819924195358416896
10606,2271,819588359383371776
2550,462,819238181065359361
0,42228,819015337530290176
49960,21794,819006400881917954
0,24069,818646164899774465
10971,2982,818614493328580609
12127,2873,818536468981415936
12197,2621,818259473185828864
5356,906,817908911860748288
11901,3084,817777686764523521
0,3917,817502432452313088
6267,1131,817415592588222464
9690,2326,817171292965273600
9517,1927,817056546584727552
11071,2361,816816676327063552
33961,9366,816450570814898180
9927,2500,816091915477250048
0,6154,816014286006976512
25057,9907,815966073409433600
10937,2625,815736392542261248
11467,4407,815390420867969024
12511,3130,814638523311648768
9629,2156,814530161257443328
0,3732,813944609378369540
40402,16267,813812741911748608
20783,8476,813217897535406080
22085,5096,813187593374461952
8588,2557,813157409116065792
4968,513,813130366689148928
11515,3225,813112105746448384
10989,3220,813081950185472002
23337,8503,813051746834595840
0,8067,812747805718642688
6787,1424,812503143955202048
15224,4252,812372279581671427
8429,1884,811744202451197953
14265,3650,811627233043480576
5927,1655,810984652412424192
12192,3057,810657578271330305
16380,3901,810254108431155201
0,5711,809808892968534016
22246,6554,809220051211603969
11271,3536,808838249661788160
12595,3007,808501579447930884
0,6961,808134635716833280
14015,4098,808001312164028416
107015,56625,807106840509214720
14514,4418,807010152071229440
0,6426,806620845233815552
11363,2752,806542213899489280
7145,1388,806219024703037440
9178,2209,805932879469572096
0,9374,805823200554876929
9773,2929,805487436403003392
15326,4480,804738756058218496
0,3712,804413760345620481
11203,3220,803773340896923648
12270,4828,803638050916102144
0,6221,803321560782307329
10085,2336,802952499103731712
7938,1714,802600418706604034
18124,6808,802323869084381190
0,5247,802247111496568832
0,314,802185808107208704
1958,275,801854953262350336
6802,960,801285448605831168
0,4627,801127390143516673
778,113,800859414831898624
11701,3214,800751577355128832
10538,2489,800459316964663297
12456,3265,800388270626521089
17092,2980,800141422401830912
0,5488,799774291445383169
8965,2213,799422933579902976
11065,3227,799297110730567681
14712,5203,798933969379225600
0,7724,798705661114773508
0,7602,798697898615730177
0,2702,798686750113755136
0,6485,798673117451325440
0,2153,798644042770751489
0,6618,798585098161549313
0,3924,798340744599797760
13018,3652,797971864723324932
22328,7726,797236660651966464
0,10411,796904159865868288
13256,3562,796759840936919040
8472,2042,796484825502875648
0,16628,796177847564038144
5511,2079,796125600683540480
9469,2703,796080075804475393
